"longitude","latitude","OBJECTID","VICINITY","SCI_NM","CMMN_NM","FAM_NAME","GENUS_NAME"
-76.9966214772,38.9264624854,18978410,"651 GIRARD ST NE","Cercis species","Redbud","Fabaceae","Cercis"
-77.070825867,38.9349421318,18959509,"3407 36TH ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0639871261,38.9060637849,18940301,"3251 PROSPECT ST NW","Betula nigra","River birch","Betulaceae","Betula"
-77.0527962341,38.9796637378,19021214,"3010 CHESTNUT ST NW","Cercis canadensis","Eastern redbud","Fabaceae","Cercis"
-77.0845514279,38.9081211503,19056494,"4474 MACARTHUR BLVD NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0193013198,38.9363774272,18953370,"3660 PARK PL NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0916477199,38.9133597588,18976265,"4715 MACARTHUR BLVD NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0174842801,38.9508217985,18901114,"4923 4TH ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9511708498,38.8833978127,19002788,"3700 ELY PL SE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-77.0280048122,38.9529604593,18930191,"1200 blk HAMILTON ST NW","Celtis occidentalis","Hackberry","Ulmaceae","Celtis"
-77.0022017369,38.9612204538,18945595,"311 OGLETHORPE ST NE","Quercus nuttallii","Nuttall oak","Fagaceae","Quercus"
-76.9757506836,38.843823059,18998021,"1900 MISSISSIPPI AVE SE","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0995726758,38.9243569355,19066476,"5019 FULTON ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.0089337687,38.8828722109,18961841,"0 SOUTH CAPITOL ST BN","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0799124076,38.9087087612,19036492,"4300 blk P ST NW","Prunus serrulata 'Kwanzan'","Kwanzan cherry","Rosaceae","Prunus"
-76.9945507829,38.9532716812,18958641,"5133 7TH ST NE","Acer platanoides","Norway maple","Aceraceae","Acer"
-76.9953858163,38.9544477006,18987392,"701 Hamilton St NE","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0439728937,38.9312832975,18946819,"3155 19TH ST NW","Liquidambar rotundiloba","Rotundiloba sweetgum","Hamamelidaceae","Liquidambar"
-77.0220408681,38.8880754885,19041483,"0 7TH ST SW","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0070720892,38.9450083289,18906009,"opp 66 WEBSTER ST NE/clermont","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9885806114,38.8444306863,19020958,"3200 BLK 13TH ST SE","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0389147728,38.9316269373,18924261,"3200 17TH ST NW","Ulmus americana","American elm","Ulmaceae","Ulmus"
-76.9857044018,38.8452865093,19020876,"OPP 1380 ALABAMA AVE SE","Carpinus species","Hornbeam","Betulaceae","Carpinus"
-76.9847559145,38.8657826176,19038428,NA,"Pinus taeda","Loblolly Pine","Pinaceae","Pinus"
-77.0120851627,38.8298201727,18959633,"4101 MARTIN LUTHER KING JR AVE SW","Prunus species","Cherry","Rosaceae","Prunus"
-77.0964320613,38.9162107361,18998407,"OPP 4844 RESERVOIR RD NW","Robinia pseudoacacia","Black locust","Fabaceae","Robinia"
-77.0861457646,38.9475698814,19067602,"4400 blk 44TH ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0044315074,38.8813427184,19058177,"Garfield Park","Koelreuteria paniculata","Goldenrain tree","Sapindaceae","Koelreuteria"
-77.0228812854,38.9005357076,19004284,"OPP 822 8TH ST NW","Ginkgo biloba (male)","Ginkgo (male)","Ginkgoaceae","Ginkgo"
-77.0247930797,38.9024556706,19002282,"900 BLK K ST NW","Ulmus americana 'Princeton'","Princeton elm","Ulmaceae","Ulmus"
-77.0093179157,38.8337258909,19040253,"3912 1ST ST SW","Prunus yedoensis","Yoshino cherry","Rosaceae","Prunus"
-77.0005033126,38.8294044158,18994774,"OPP 4137 4TH ST SE","Quercus palustris","Pin oak","Fagaceae","Quercus"
-76.9901477275,38.9413240854,18964987,"4209 12TH ST NE","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0526692903,38.9177531004,18901688,"2030 24TH ST NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9632555959,38.880295014,18963886,"3020 G ST SE","Prunus cerasifera","Purple leaf plum","Rosaceae","Prunus"
-77.1033747802,38.9275034701,18989617,"2800 blk ARIZONA AVE NW","Ulmus americana","American elm","Ulmaceae","Ulmus"
-76.9741353963,38.8496740106,18926708,"OPP 3313 22ND ST SE","Styphnolobium japonicum","Japanese pagodatree","Fabaceae","Styphnolobium"
-77.0842700956,38.958171388,19046436,"5225 WISCONSIN AVE NW","Celtis occidentalis","Hackberry","Ulmaceae","Celtis"
-77.022682119,38.9649089031,18919070,"702 RITTENHOUSE ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9742434148,38.9035385712,19002877,"900 BLK 21ST ST NE","Quercus shumardi","Shumard oak","Fagaceae","Quercus"
-76.9446216287,38.8904033216,18978343,"100 41ST ST NE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-77.0101439571,38.913397373,18936656,"27 RANDOLPH PL NW/N. Capitol St","Tilia cordata 'Greenspire'","Greenspire littleleaf linden","Tiliaceae","Tilia"
-77.0218490742,38.945030395,18979521,"0pp4417 7TH ST NW","Platanus occidentalis","American sycamore","Platanaceae","Platanus"
-77.0821948074,38.9117563026,19035880,"4415 GREENWICH PKWY NW","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-77.0687753941,38.9076958395,19049574,"3424 O ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-76.9816170747,38.9443463964,18913463,"4503 17TH ST NE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0716661772,38.9655618839,19029283,"5609 CHEVY CHASE PKWY NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0066184964,38.9438810531,19026203,"4405 1ST PL NE/Victor St","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-77.0220887642,38.9462090616,18919864,"700 BLK BUCHANAN ST NW","Acer species","Maple","Aceraceae","Acer"
-77.0350511562,38.9775101158,18914297,"opp 7234 15TH PL NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0903387949,38.9569861745,18930403,"4546 HARRISON ST NW","Cercidiphyllum japonicum","Katsuratree","Cercidiphyllaceae","Cercidiphyllum"
-76.9707066134,38.9324710208,18984114,"0 HOOVER RD NE","Quercus palustris","Pin oak","Fagaceae","Quercus"
-76.9976613682,38.831940196,18968633,"600 BLK YUMA ST SE","Koelreuteria bipinnata","Chinese flame tree","Sapindaceae","Koelreuteria"
-77.0968190043,38.9411684957,18945360,"3920 49TH ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0268697417,38.9485564068,19030018,"4805 GEORGIA AVE NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0499759662,38.9126642035,18913973,"2223 R ST NW","Tilia cordata","Littleleaf linden","Tiliaceae","Tilia"
-76.9890006299,38.8431028611,18924834,"1233 SAVANNAH ST SE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-77.0632005379,38.9280143277,18915493,"2905 32ND ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0198163353,38.9582305865,19034392,"430 MISSOURI AVE NW","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0399309417,38.9141520899,19051453,"1717 S ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9780403414,38.9351411325,18959773,"opp 1839 OTIS ST NE","Quercus species","Oak","Fagaceae","Quercus"
-76.9950408762,38.9046125546,19054264,"1130 8TH ST NE","Quercus macrocarpa","Bur oak","Fagaceae","Quercus"
-77.0938747778,38.9403823897,18958975,"4725 SEDGWICK ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.0723565258,38.9401719203,19070434,"3900 BLK 37TH ST NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9816664706,38.8652935239,19044515,"1612 U ST SE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-76.9921387246,38.9315527295,18907182,"1000 blk LAWRENCE ST NE","Platanus occidentalis","American sycamore","Platanaceae","Platanus"
-77.0445087102,38.9871178336,18988981,"OPP 1841 SUDBURY LN NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.067834428,38.9403682096,18945591,"3500 SPRINGLAND LN NW","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0928690424,38.9448470271,19067204,"Opp 4700 WARREN ST NW","Cornus kousa","Dogwood (Kousa)","Cornaceae","Cornus"
-76.9936211945,38.838123044,19067846,"3700 BLK WHEELER RD SE","Pistacia chinensis","Chinese pistachio","Anacardiaceae","Pistacia"
-76.9786968574,38.8720799123,19041289,"1800 BLK P ST SE","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9879425761,38.8347114165,19027927,"1195 BARNABY TER SE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0502415782,38.8976391252,19066972,"604 23RD ST NW","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-76.9613993943,38.8758806596,18980009,"1100 BLK BRANCH AVE SE","Liriodendron tulipifera","Tulip poplar","Magnoliaceae","Liriodendron"
-77.0995345835,38.9477757521,18906361,"5036 MASSACHUSETTS AVE NW","Amelanchier arborea","Downy serviceberry","Rosaceae","Amelanchier"
-76.9788296513,38.8442519043,18955146,"3500 STANTON RD SE","Liquidambar rotundiloba","Rotundiloba sweetgum","Hamamelidaceae","Liquidambar"
-77.0115554812,38.9181639579,18932359,"81 V ST NW","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-77.0006425207,38.904279746,18938970,"1116 4TH ST NE","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9909317744,38.8613313252,18939165,"SIDE OF 1249 TALBERT ST SE","Quercus alba","White oak","Fagaceae","Quercus"
-77.0154809039,38.8831857032,19059008,"300 E ST SW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0203982477,38.902663648,18982679,"601 K ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-76.9781280135,38.8698711483,19065405,"1818 MINNESOTA AVE SE","Quercus palustris","Pin oak","Fagaceae","Quercus"
-76.9870569037,38.8639076007,18908057,"2219 CHESTER ST SE","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.0038797057,38.9664810882,18904296,"96 SHERIDAN ST NE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0260237825,38.9638775274,18906255,"6106 9TH ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-76.9751090086,38.8657488715,19048017,"2213 T PL SE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0059564141,38.964500874,18973362,"6135 SLIGO MILL RD NE","Quercus macrocarpa","Bur oak","Fagaceae","Quercus"
-76.9884747274,38.8590898803,19022226,"1431 HOWARD RD SE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-76.9910096193,38.9363891929,19015986,"3800 12TH ST NE/Perry St","Ginkgo biloba (female)","Ginkgo (female)","Ginkgoaceae","Ginkgo"
-77.0714699591,38.9439299092,18942691,"3634 VEAZEY ST NW","Ulmus pumila","Siberian elm","Ulmaceae","Ulmus"
-76.9941931245,38.8915028596,18954233,"812 MASSACHUSETTS AVE NE","Tilia americana","American linden","Tiliaceae","Tilia"
-76.9407363969,38.8975804449,18932155,"4248 FOOTE ST NE","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9981711915,38.942649924,18939250,"4400 BLK PUERTO RICO AVE NE","Juniperus virginiana","Eastern redcedar","Cupressaceae","Juniperus"
-76.9785079813,38.9441865323,19049568,"1800 blk WEBSTER ST NE","Taxodium distichum","Bald cypress","Cupressaceae","Taxodium"
-77.0110258664,38.8962135969,19033940,"UNIT BLOCK E ST NW","Ginkgo biloba (female)","Ginkgo (female)","Ginkgoaceae","Ginkgo"
-76.9964866176,38.8838658152,19005006,"opp 667 SOUTH CAROLINA AVE SE","Ulmus americana 'Princeton'","Princeton elm","Ulmaceae","Ulmus"
-77.0651196081,38.9540072746,19033735,"4909 32ND ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0034506451,38.8849171237,18984709,"OPP 403 2ND ST SE","Acer rubrum","Red maple","Aceraceae","Acer"
-76.983592075,38.9309861992,19026518,"1510 KEARNY ST NE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0631099416,38.9259396492,19056296,"3115 WOODLAND DR NW","Gleditsia triacanthos var. inermis 'Skyline'","Skyline honeylocust","Fabaceae","Gleditsia"
-76.9626280942,38.8718878347,18904581,"3025 P ST SE","Carpinus caroliniana","Ironwood","Betulaceae","Carpinus"
-76.9328432508,38.891183793,18971914,"OPP 114 49TH ST NE","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9791692898,38.923505101,18932467,"1724 DOUGLAS ST NE","Cercis species","Redbud","Fabaceae","Cercis"
-76.9245429984,38.8896537303,19025009,"5327 EAST CAPITOL ST SE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-76.9599793467,38.8594767025,19040252,"3300 BLK CAMDEN ST SE","Magnolia virginiana","Sweetbay magnolia","Magnoliaceae","Magnolia"
-76.9939734999,38.8859914099,18977477,"OPP 822 C ST SE","Liquidambar rotundiloba","Rotundiloba sweetgum","Hamamelidaceae","Liquidambar"
-77.0968325904,38.9448111913,19048705,"4308 49TH ST NW","Prunus yedoensis","Yoshino cherry","Rosaceae","Prunus"
-77.0661908128,38.9335466344,18941604,"3311 MACOMB ST NW","Quercus bicolor","Swamp white oak","Fagaceae","Quercus"
-76.9736092609,38.8605536212,19042586,"OPP 2300 SKYLAND TER SE","Gleditsia triacanthos var. inermis 'Shademaster'","Shademaster honeylocust","Fabaceae","Gleditsia"
-76.9350058019,38.8784357919,19045837,"1100 46TH ST SE","Amelanchier arborea","Downy serviceberry","Rosaceae","Amelanchier"
-77.003662637,38.8819184504,18984903,"100 blk F ST SE","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-77.0500243922,38.8987148709,19001550,"725  23RD ST NW","Ulmus americana 'Princeton'","Princeton elm","Ulmaceae","Ulmus"
-76.9525214392,38.869969209,18950672,"OPP 3577 TEXAS AVE SE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-76.9968772102,38.8575409627,18948688,"2647 BIRNEY PL SE","Koelreuteria paniculata","Goldenrain tree","Sapindaceae","Koelreuteria"
-77.0947071507,38.9478672961,18922517,"4806 ALBEMARLE ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0488064996,38.9155720174,18979584,"oppo to 1827 PHELPS PL NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0363485304,38.982616866,18993731,"7604 16TH ST NW/MEDIAN","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-77.1139864001,38.9357276108,19049648,"5400 NORTON ST NW","Cladrastis lutea","Yellowwood","Fabaceae","Cladrastis"
-76.9859513303,38.8675456729,18986175,"1327 T ST SE","Ginkgo biloba (male)","Ginkgo (male)","Ginkgoaceae","Ginkgo"
-77.0000357995,38.9232848782,18906882,"opp 415 EDGEWOOD ST NE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0818299821,38.9609718033,18990176,"4130 MILITARY RD NW","Pyrus calleryana 'Bradford'","Bradford callery pear","Rosaceae","Pyrus"
-77.0416205788,38.8941571684,18909391,"311 18TH ST NW","Quercus imbricaria","Shingle oak","Fagaceae","Quercus"
-77.0253939718,38.9248731079,19001729,"OPP 787 FAIRMONT ST NW","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-77.0314298624,38.9345298585,18996464,"1348 OTIS PL NW","Gleditsia triacanthos var. inermis","Thornless honeylocust","Fabaceae","Gleditsia"
-76.9223543012,38.8879908712,18917680,"72 55TH ST SE","Gleditsia triacanthos var. inermis","Thornless honeylocust","Fabaceae","Gleditsia"
-76.9354833733,38.8795953857,18904372,"OPP 4600 HILLTOP TER SE","Acer saccharinum","Silver maple","Aceraceae","Acer"
-76.9755576577,38.9371954376,19014904,"2011 QUINCY ST NE","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.032445605,38.9046487932,18939214,"1199 VERMONT AVE NW","Quercus imbricaria","Shingle oak","Fagaceae","Quercus"
-77.029771943,38.9679388092,18928556,"6408 13TH ST NW","Carpinus species","Hornbeam","Betulaceae","Carpinus"
-76.9817074507,38.8954291964,19043549,"1607 ISHERWOOD ST NE","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0204898061,38.9587884649,18902410,"505 MADISON ST NW","Acer campestre","Hedge maple","Aceraceae","Acer"
-77.0367955845,38.9593323802,19059573,"1600 BLK MONTAGUE ST NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0220862369,38.9393192088,19040901,"3900 BLK NEW HAMPSHIRE AVE NW [MEDIAN]","Ulmus 'Accolade'","Elm (Accolade)","Ulmaceae","Ulmus"
-77.0653360588,38.9292487892,18949010,"3305 CLEVELAND AVE NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0061408834,38.9125542665,19004813,"109 R ST NE","Liquidambar Stryaciflua 'Sterile'","Sweetgum (sterile)","Hamamelidaceae","Liquidambar"
-76.9572022122,38.8723358965,18938477,"3328 POPE ST SE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.007912404,38.9303960086,18959943,"IRVING TRAFFIC CIRCLE (SW)","Pinus taeda","Loblolly Pine","Pinaceae","Pinus"
-76.9921112743,38.8332226422,19011214,"OPP 3842 9TH ST SE","Acer buergeranum","Trident maple","Aceraceae","Acer"
-76.979453583,38.9389602045,18954439,"4025 SOUTH DAKOTA AVE NE","Quercus bicolor","Swamp white oak","Fagaceae","Quercus"
-77.0186786767,38.9723073522,18923915,"406 ASPEN ST NW","Acer campestre","Hedge maple","Aceraceae","Acer"
-76.975206988,38.8893305701,19008971,"2001 EAST CAPITOL ST BN","Ulmus americana 'Princeton'","Princeton elm","Ulmaceae","Ulmus"
-76.995662332,38.8813321785,19051427,"708 G ST SE","Acer saccharinum","Silver maple","Aceraceae","Acer"
-77.0435634862,38.9333404859,19001496,"1871 monroe st nw","Cercis canadensis","Eastern redbud","Fabaceae","Cercis"
-77.0336286997,38.9775163343,18957303,"7206 ALASKA AVE NW","Cercis species","Redbud","Fabaceae","Cercis"
-76.9269056376,38.8896523578,19029227,"5201 EAST CAPITOL ST SE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-76.9801955707,38.9331365718,18981925,"1712 MONROE ST NE","Metasequoia glyptostroboides","Dawn redwood","Cupressaceae","Metasequoia"
-76.9341826496,38.8857311146,19067823,"OPP 4800 C ST SE","Halesia carolina","Carolina silverbell","Styracaceae","Halesia"
-77.0296177351,38.9842868273,19057790,"7700 BLK 13TH ST NW","Quercus bicolor","Swamp white oak","Fagaceae","Quercus"
-77.0546664105,38.8976719666,18904391,"600 BLK NEW HAMPSHIRE AVE NW","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-77.0546502155,38.9413281269,19019014,"4016 LINNEAN AVE NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0408259242,38.9324178236,18971486,"1761 PARK RD NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9183314013,38.8873388656,18972320,"133 57TH ST SE","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9905265506,38.937773354,19001731,"3916 12TH ST NE","Prunus serrulata 'Kwanzan'","Kwanzan cherry","Rosaceae","Prunus"
-76.9900712721,38.8418329411,19026243,"3326 12TH ST SE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.035606644,38.981402967,18964840,"1551 HEMLOCK ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-76.9766056481,38.8706427776,19066758,"OPP 1917 MINNESOTA AVE SE","Quercus alba","White oak","Fagaceae","Quercus"
-76.9287881585,38.891832625,18921131,"5029 BLAINE ST NE","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9330287116,38.9060279995,19064525,"4815 MEADE ST NE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0295390409,38.9106307309,18907654,"OPP 1504 13TH ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-76.99944401,38.9063694292,19063124,"1225 5TH ST NE","Liquidambar rotundiloba","Rotundiloba sweetgum","Hamamelidaceae","Liquidambar"
-76.9808495749,38.9297187861,18924000,"3100 blk 17TH ST NE/Irving","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0089533538,38.8731236539,18959663,"1300 BLOCK SOUTH CAPITOL ST BN","Quercus prinus","Chestnut oak","Fagaceae","Quercus"
-76.9831934632,38.9245632068,18947337,"opp 1445 EVARTS ST NE","Quercus nuttallii","Nuttall oak","Fagaceae","Quercus"
-77.0386697672,38.9830379318,18995573,"1701 JUNIPER ST NW","Ginkgo biloba","Ginkgo","Ginkgoaceae","Ginkgo"
-77.0358033252,38.9507594213,18999789,"1520 FARRAGUT ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0276997146,38.9012786423,19049047,"1100 BLK I ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0112628143,38.8315978755,19017231,"4001 1ST ST SW","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-77.0697834655,38.933541015,18932234,"3511 MACOMB ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-76.9790848896,38.9230851283,18932401,"2500 blk 18TH ST NE/Channing St","Cercis species","Redbud","Fabaceae","Cercis"
-77.06645309,38.9734376072,18981159,"6310 33RD ST NW","Cornus kousa","Dogwood (Kousa)","Cornaceae","Cornus"
-77.0191030084,38.9414993797,19018593,"4111 5TH ST NW","Quercus bicolor","Swamp white oak","Fagaceae","Quercus"
-77.0162741465,38.9655060031,19045905,"6222 3RD ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0140405834,38.9742207806,19023487,"6900 blk WILLOW ST NW","Prunus 'Snow Goose'","Cherry (Snowgoose)","Rosaceae","Prunus"
-77.0967406348,38.9378232564,19053867,"opp 4941 49th ST NW(PARK ENTRANCE)","Cornus florida var . rubra","Pink-Flowering Dogwood","Cornaceae","Cornus"
-76.9332571913,38.8966182871,19030716,"opp 609 49TH ST NE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0297587326,38.8991733571,18932332,"700 13TH ST NW","Ginkgo biloba (male)","Ginkgo (male)","Ginkgoaceae","Ginkgo"
-76.9674341114,38.8499145613,19036322,"2800 SHIPLEY TER SE","Acer ginnala","Amur maple","Aceraceae","Acer"
-77.0179349158,38.9119253656,19029094,"415 WARNER ST NW","Liquidambar styraciflua","Sweetgum","Hamamelidaceae","Liquidambar"
-76.9575655205,38.8946057189,18917054,"328 34TH ST NE","Betula nigra 'Dura heat'","Dura heat' river birch","Betulaceae","Betula"
-76.9828162393,38.9300247918,19031498,"1500 blk JACKSON ST NE","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-76.9800699027,38.855225394,18983085,"OPP 1701 GAINESVILLE ST SE","Cladrastis lutea","Yellowwood","Fabaceae","Cladrastis"
-77.0280184194,38.9066732435,19054798,"1229 12TH ST NW","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-77.0255892798,38.9514465622,18964477,"5016 9TH ST NW","Betula nigra","River birch","Betulaceae","Betula"
-77.0003307788,38.8875334056,18925448,"OPP 402 INDEPENDENCE AVE SE","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.0815408997,38.9096967832,18931476,"4417 VOLTA PL NW","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-77.0058046343,38.9417609624,19066804,"4311 1ST ST NE/Taussig","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-77.0296304385,38.9420099996,18990844,"4200 BLK 13TH ST NW/ UPSHUR","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0412315905,38.9325668062,19049641,"3303 18TH ST NW","Chionanthus retusus","Chinese Fringetree","Oleaceae","Chionanthus"
-77.0955253266,38.9311785094,19008126,"3030 CHAIN BRIDGE RD NW","Juniperus virginiana","Eastern redcedar","Cupressaceae","Juniperus"
-77.0664651434,38.9273729262,19046984,"2818 34TH ST NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9292363003,38.881455978,19067824,"505 51ST ST SE","Cercis canadensis","Eastern redbud","Fabaceae","Cercis"
-77.035205094,38.9803420598,18939799,"1436 HOLLY ST NW","Cladrastis lutea","Yellowwood","Fabaceae","Cladrastis"
-77.0892783424,38.9431145474,18921245,"4512 VAN NESS ST NW","Stewartia pseudocamellia","Japanese Stewartia","Theaceae","Stewartia"
-76.9803340902,38.9340205701,18905971,"1711 NEWTON ST NE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9356415515,38.8827111101,18926600,"519 46TH ST SE","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9925832227,38.8821565729,18962324,"510 10TH ST SE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0829863261,38.9095659695,18918451,"1527 FOXHALL RD NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-76.978234583,38.9350527598,18916351,"1833 OTIS ST NE","Acer campestre","Hedge maple","Aceraceae","Acer"
-76.9962333143,38.8958978896,19062491,"422 7TH ST NE","Acer campestre","Hedge maple","Aceraceae","Acer"
-76.9562169782,38.8948278969,19011119,"3438 DIX ST NE","Zelkova serrata 'Green Vase'","Green Vase Japanese zelkova","Ulmaceae","Zelkova"
-77.0362399191,38.9826361657,18911320,"7603 16TH ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-76.9999813913,38.887547904,18985041,"415 INDEPENDENCE AVE SE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9911712029,38.9359289768,18938432,"3700 blk 12TH ST NE/Otis St","Tilia cordata","Littleleaf linden","Tiliaceae","Tilia"
-76.9329788108,38.8938442533,18903150,"316 49TH ST NE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0378230809,38.9249990055,19027562,"opp 2606 MOZART PL NW","Nyssa sylvatica","Tupelo","Nyssaceae","Nyssa"
-77.0026910407,38.9025844391,19049715,"OPP 225 K ST NE","Quercus nuttallii","Nuttall oak","Fagaceae","Quercus"
-77.0318258017,38.9151954241,19065574,"1835 14TH ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-76.9994420177,38.8981629888,18916690,"629 5TH ST NE","Tilia americana","American linden","Tiliaceae","Tilia"
-77.0876170433,38.9496514285,18922595,"4426 BRANDYWINE ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9833601084,38.8909875865,18900199,"1504 A ST NE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9858350879,38.9405453448,18978331,"4126 14TH ST NE/Shepherd St","Platanus occidentalis","American sycamore","Platanaceae","Platanus"
-77.1013006619,38.9349662011,19001281,"5001 GLENBROOK RD NW","Cornus species","Dogwood","Cornaceae","Cornus"
-77.0176317564,38.9713306211,19070510,"321 WHITTIER ST NW","Gymnocladus dioicus","Kentucky coffeetree","Fabaceae","Gymnocladus"
-77.016237709,38.9132052579,18978020,"1710 4TH ST NW","Liquidambar styraciflua","Sweetgum","Hamamelidaceae","Liquidambar"
-77.0696876984,38.9617794881,18969385,"5416 NEVADA AVE NW","Acer species","Maple","Aceraceae","Acer"
-76.9653323369,38.9296108007,18930282,"2910 CLINTON ST NE/Cental Ave","Celtis occidentalis","Hackberry","Ulmaceae","Celtis"
